item_id;item_name;category;starting_price;image_url;item_condition;description;seller_login;seller_role
0;Well-off Chest;Golf & Sports Gear;38;none;New - Imperfect;Lorem ipsum dolor sit amet, consectetur adipiscing;melodic-chocolate;Seller
1;Juicy Trampoline;Collectibles;61;none;Brand New;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt;false-news;Seller
2;Precious Hammer;Travel;54;none;Ungraded;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do;incompatible-monitor;Seller
3;Quiet Bean bag;CDs, DVDs, Games;45;none;Like New;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris;upset-temperature;Seller
4;Forceful Pizza pan;Food & Gourmet Items;62;none;Acceptable;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint;mindless-button;Seller
5;Gregarious Marker;Pets;24;none;Used;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut;productive-advice;Seller
6;Straight Rug;Other;59;none;Certified - Refurbished;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non;constant-university;Seller
7;Lame Cable car;Collectibles;50;none;Acceptable;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla;coordinated-opposite;Seller
8;Vibrant Pry bar;Dining;45;none;For Parts;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia;ruddy-tie;Seller
9;Villainous Coin;Memorabilia;98;none;Very Good - Refurbished;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do;pitiful-dream;Seller
